qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
151,403b,0.0996,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,angular cheilitis,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,pocono,0.2921,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,figs,0.0418,1,backtranslation_tam_taml,0.075,The fig trees,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,last supper painting,0.2128,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,university of phoenix,0.1082,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,the beatles rock band,0.0714,1,backtranslation_tam_taml,0.1185,The Beatles were a rock band ,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,septic system design,0.4015,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,porterville,0.2459,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,grilling,0.0122,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,furniture for small spaces,0.0283,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,dnr,0.0346,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,arkansas,0.0303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,hobby stores,0.0329,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,blue throated hummingbird,0.0018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,computer programming,0.0051,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,barbados,0.0186,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,lipoma,0.2925,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,battles in the civil war,0.0868,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,scooters,0.0055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ron howard,0.1245,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,becoming a paralegal,0.2168,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,hip fractures,0.3259,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,rock art,0.1006,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,signs of a heartattack,0.0255,10,backtranslation_yue_hant,0.0912,Signs of heart attack ,backtranslation_kor_hang,0.0912,Signs of a heart attack,backtranslation_arb_arab,0.0912,Signs of a heart attack  ,backtranslation_pes_arab,0.0912,Signs of a heart attack ,backtranslation_fra_latn,0.0912,signs of heart attack,backtranslation_deu_latn,0.0912,Signs of a Heart Attack,backtranslation_rus_cyrl,0.0912,signs of heart attack,backtranslation_zsm_latn,0.0912,Signs of a heart attack,backtranslation_swh_latn,0.0912,signs of heart attack,backtranslation_tam_taml,0.0767,The symptoms of a heart attack
176,weather strip,0.0004,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,best long term care insurance,0.0852,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,pork tenderloin,0.0581,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,black history,0.0217,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,newyork hotels,0.0056,9,backtranslation_kor_hang,0.0076,Hotel in New York ,backtranslation_arb_arab,0.0076,The hotels in New York  ,backtranslation_pes_arab,0.0076,The hotels in New York ,backtranslation_fra_latn,0.0076,hotels in New York,backtranslation_deu_latn,0.0076,Hotels in New York,backtranslation_rus_cyrl,0.0076,hotels in New York,backtranslation_zsm_latn,0.0076,hotel in New York,backtranslation_tam_taml,0.0076,New York hotels,backtranslation_swh_latn,0.0076,hotels in New York,,,
181,old coins,0.0244,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
182,quit smoking,0.1327,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,kansas city mo,0.0042,6,backtranslation_yue_hant,0.0564,Kansas City ,backtranslation_arb_arab,0.0564,Kansas City  ,backtranslation_pes_arab,0.0564,Kansas City ,backtranslation_fra_latn,0.0564,Kansas City is not,backtranslation_rus_cyrl,0.0564,Kansas City,backtranslation_tam_taml,0.0564,Kansas City,,,,,,,,,,,,
184,civil right movement,0.1485,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,credit report,0.0214,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,unc,0.0491,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
187,vanuatu,0.0894,1,backtranslation_zsm_latn,0.1464,Vanuatu is a country,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,internet phone service,0.0058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,gs pay rate,0.0168,3,backtranslation_kor_hang,0.0178,Gs wage rate,backtranslation_zsm_latn,0.0178,Gs wage rate,backtranslation_tam_taml,0.0178,Gs wage rate,,,,,,,,,,,,,,,,,,,,,
190,brooks brothers clearance,0.0651,1,backtranslation_kor_hang,0.0703,The Brooks Brothers are promoted ,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,churchill downs,0.074,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,condos in florida,0.0399,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,dog clean up bags,0.1044,7,backtranslation_yue_hant,0.1056,Dogs are cleaning bags ,backtranslation_arb_arab,0.1056,The dog cleans the bags ,backtranslation_fra_latn,0.1056,Dog cleaning bags,backtranslation_rus_cyrl,0.1056,The dog cleans the bags ,backtranslation_zsm_latn,0.1056,Cleaning the dog bag,backtranslation_tam_taml,0.1056,Dog cleaning bags,backtranslation_swh_latn,0.1056,dog cleaning bags,,,,,,,,,
194,designer dog breeds,0.8362,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
195,pressure washers,0.0104,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,sore throat,0.1724,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,idaho state flower,0.1574,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,indiana state fairgrounds,0.2042,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,fybromyalgia,0.0132,6,backtranslation_pes_arab,0.2046,Fibromyalgia,backtranslation_deu_latn,0.2046,Fibromyalgia,backtranslation_rus_cyrl,0.2046,Fibromyalgia,backtranslation_zsm_latn,0.2046,Fibromyalgia,backtranslation_tam_taml,0.0451,The first is the fact that the patient is suffering from fibromyalgia ,backtranslation_arb_arab,0.0227,My daughter is a fibromyalgia ,,,,,,,,,,,,
200,ontario california airport,0.1905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
