qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
301,International Organized Crime,0.0335,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
302,Poliomyelitis and Post-Polio,0.5704,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements,0.1812,1,backtranslation_yue_hant,0.1919,The Hubble Telescope has achieved this,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Endangered Species (Mammals),0.1361,1,backtranslation_swh_latn,0.1427,Endangered Species  Animals,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Most Dangerous Vehicles,0.0016,3,backtranslation_yue_hant,0.0023,The most dangerous car,backtranslation_swh_latn,0.0023,The Most Dangerous Cars,backtranslation_arb_arab,0.0022,More dangerous cars,,,,,,,,,,,,,,,,,,,,,
306,African Civilian Deaths,0.1196,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,New Hydroelectric Projects,0.2849,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Implant Dentistry,0.2914,3,backtranslation_deu_latn,0.5028,Implant teeth,backtranslation_yue_hant,0.5017,Dental implants,backtranslation_pes_arab,0.5017,Dental implant,,,,,,,,,,,,,,,,,,,,,
309,Rap and Crime,0.0011,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Radio Waves and Brain Cancer,0.144,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Industrial Espionage,0.4382,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics,0.8626,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation-Maglev,0.7595,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation,0.0028,8,backtranslation_yue_hant,0.1999,The seaweed,backtranslation_pes_arab,0.1999,Seaweed,backtranslation_rus_cyrl,0.0263,Sea vegetation,backtranslation_arb_arab,0.024,Marine plants,backtranslation_deu_latn,0.0224,Sea farming,backtranslation_kor_hang,0.0039,Sea plants,backtranslation_zsm_latn,0.0039,Sea plants,backtranslation_tam_taml,0.0039,Sea plants,,,,,,
315,Unexplained Highway Accidents,0.0298,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny,0.5865,5,backtranslation_yue_hant,0.6569,Polygamy is polygamy,backtranslation_fra_latn,0.6569,Polygamy and polygamy,backtranslation_deu_latn,0.6569,Polygamy and polygamy,backtranslation_rus_cyrl,0.6569,Polygamy of Polyandria Polygania,backtranslation_zsm_latn,0.6569,Polygamy Polygamy,,,,,,,,,,,,,,,
317,Unsolicited Faxes,0.5142,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country,0.0079,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources,0.0932,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable,0.0333,4,backtranslation_fra_latn,0.1015,Submarine fibre optic cable,backtranslation_arb_arab,0.0485,Sea fiber cable underwater,backtranslation_zsm_latn,0.0439,Underwater fiber optic cables,backtranslation_deu_latn,0.0359,Subsea optical cables,,,,,,,,,,,,,,,,,,
321,Women in Parliaments,0.2835,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime,0.0022,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,Literary/Journalistic Plagiarism,0.1988,1,backtranslation_zsm_latn,0.2779,Literary plagiarism,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine/British Relations,0.4664,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cult Lifestyles,0.0749,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings,0.6135,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Modern Slavery,0.1216,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications,0.6552,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution,0.268,8,backtranslation_yue_hant,0.3455,Air pollution in Mexico,backtranslation_kor_hang,0.3455,Air Pollution in Mexico,backtranslation_pes_arab,0.3455,Air pollution in Mexico,backtranslation_fra_latn,0.3455,Air pollution in Mexico,backtranslation_deu_latn,0.3455,Air pollution in Mexico,backtranslation_rus_cyrl,0.3455,Air pollution in Mexico,backtranslation_zsm_latn,0.3455,Air Pollution in Mexico,backtranslation_swh_latn,0.3455,Air Pollution in Mexico,,,,,,
