qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
801,Kudzu Pueraria lobata,0.4259,801,The garden of Kunsan  the faucet,0.0,801,The Kuz Poeria Robata is coming,0.0,801,I  m not going to lie,0.0,801,The first is the  Codez Porcaria Lobata,0.0637,801,The child s elbow,0.0,801,Other  of a kind used for the manufacture of foodstuffs,0.0,801,The Kudo Poeraria of the Lobot,0.0,801,Kudzu Pueraria the lobotome,0.5209,801,The Kutsu Puewari Lopada,0.0,801,The Pueraria lobata,0.2158
802,Volcano eruptions global temperature,0.3804,802,The volcano erupted  and global warming began,0.2109,802,Volcanic eruptions  global warming,0.5024,802,Volcanic eruptions   Global warming,0.5024,802,The eruption of a global warming volcano,0.4052,802,Volcanic eruptions and global warming,0.5024,802,Volcanic eruptions global temperature,0.494,802,Volcanic eruptions global temperature,0.494,802,Global temperature volcanic eruption,0.494,802,Volcanic eruptions global warming,0.5024,802,Volcanic violence global warming,0.2317
803,May Day,0.0,803,One of May,0.0,803,May  st,0.0,803,May  st,0.0,803,A little bit,0.0,803,May,0.0,803,May,0.0,803,May  st,0.0,803,First day of May,0.0,803,May,0.0,803,The First Day of May,0.0
804,ban on human cloning,0.5224,804,Human cloning is prohibited,0.5425,804,Prohibition of human reproduction,0.3503,804,The ban on human replication,0.1329,804,Prohibition of human cloning,0.5425,804,prohibition on cloning humans,0.5425,804,Prohibition of cloning of humans,0.5425,804,The ban on cloning,0.5051,804,Prohibition of human cloning,0.5425,804,The ban on human cloning,0.5224,804,Prohibition of human design,0.0041
805,Identity Theft Passport,0.0764,805,I D  is a passport,0.0,805,A passport to steal an ID,0.0098,805,A passport for identity theft,0.0764,805,Identity theft pass,0.0205,805,Passport for identity theft,0.0764,805,Pass for identity theft,0.0205,805,Passport of identity theft,0.0764,805,Passport for identity theft,0.0764,805,Identity theft passport,0.0764,805,A Passport for Identity Theft,0.0764
806,Doctors Without Borders,0.1037,806,Doctors without borders,0.1037,806,Doctors without borders,0.1037,806,Doctors without borders,0.1037,806,Doctors without borders,0.1037,806,Doctors without Borders,0.1037,806,Doctors without Borders,0.1037,806,Doctors without borders,0.1037,806,Doctor Without Borders,0.1037,806,Doctors without Borders,0.1037,806,Doctors Without Borders,0.1037
807,Sugar tariff-rate quotas,0.5928,807,The sugar tax rate is set,0.1025,807,Sugar tariffs,0.4513,807,Sugar tariffs,0.4513,807,Low sugar tariffs,0.4605,807,Tariff quotas for sugar,0.5989,807,Tariff quotas for sugar,0.5989,807,Quotas on sugar tariff rates,0.5928,807,Sugar tariff boxes,0.272,807,Tax quotas for sugar,0.446,807,Sugar tax rates,0.1057
808,North Korean Counterfeiting,0.6233,808,North Korea is fake,0.0117,808,The North Korean counterfeit,0.6233,808,North Korean counterfeiting,0.6233,808,North Korean fraud,0.0295,808,Counterfeiting in North Korea,0.6065,808,North Korean counterfeiting,0.6233,808,North Korea is a fake,0.0117,808,North Korea Abuse,0.0245,808,The North Korean counterfeit,0.6233,808,North Korean Fraud,0.0295
809,wetlands wastewater treatment,0.3129,809,Wetland wastewater treatment,0.3129,809,The wetland drainage,0.0034,809,Treating the water in the swamp,0.0018,809,Wastewater treatment in wetlands,0.3129,809,treatment of wetland wastewater,0.3129,809,Wastewater treatment of wetlands,0.3129,809,Cleaning of wastewater in wetlands,0.0453,809,Wastewater treatment in wetlands,0.3129,809,Wetland wastewater treatment,0.3129,809,rainwater treatment,0.0
810,timeshare resales,0.3235,810,Share the time of the sale,0.0,810,Shared time reselling,0.0001,810,Re selling the stake in time,0.0,810,The resale of time stock,0.0,810,Sales distributed,0.0,810,The Commission shall take into account the following information,0.0,810,hourly share resale,0.0,810,Selling time back together,0.0,810,Time sharing reselling,0.0001,810,time sales,0.0
811,handwriting recognition,0.2378,811,Handwritten identification,0.0201,811,Signature,0.0,811,Identifying the handwriting,0.0167,811,Handwritten recognition,0.1606,811,recognition of writing,0.012,811,Handwriting identification,0.0122,811,recognition of handwriting,0.2378,811,handwriting recognition,0.2378,811,Signature acknowledgment,0.0,811,Recognizing the Scriptures,0.0
812,total knee replacement surgery,0.5915,812,Full knee replacement surgery,0.4999,812,Full knee replacement surgery,0.4999,812,Full knee replacement surgery,0.4999,812,Knee replacement surgery,0.4971,812,total knee replacement surgery,0.5915,812,Total knee replacement operation,0.5268,812,General operation for knee replacement,0.3899,812,Total knee replacement surgery,0.5915,812,A complete knee replacement,0.23,812,knee surgery,0.2886
