qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
101,ritz carlton lake las vegas,1.0,101,Lake Ritz Carlton in Las Vegas ,1.0,101,It s not like the cartoon s in the lake ,0.0,101,The Ritz Carlton Lake is Las Vegas ,1.0,101,Ritz Carlton at the Las Vegas Lake ,1.0,101,The Ritz Carlton Lake in Las Vegas,1.0,101,Ritz Carlton Lake in Las Vegas,1.0,101,Ritz Carlton Lake Las Vegas,1.0,101,The Ritz Carlton Lake in Las Vegas,1.0,101,The Ritz Carlton Lake Las Vegas,1.0,101,Ritz Carlton lake Las Vegas,1.0
102,fickle creek farm,0.0455,102,The farm ,0.0,102,A dynamic river farm ,0.0,102,The changing water farm ,0.0,102,Farm by the river ,0.0,102,unstable creek farm,0.0,102,unstable Creek Farm,0.0,102,The farm is unfavorable,0.0,102,unstable river farm,0.0,102,The River Farm Changed,0.0,102,a river field,0.0
103,madam cj walker,0.5,103,This is CJ Walker ,0.5,103,Mrs  CJ Walker  please ,0.25,103,Mrs  J J  Walker   please  ,0.0143,103,Mrs  J  Walker  please ,0.0059,103,Mrs  C J  Walker is here  ,0.0204,103,I  m not sure  ,0.0,103,Madam K  Walker   please  ,0.3333,103,Miss Walker is here ,0.002,103,The first is the book of Proverbs ,0.0,103,Uncle Walker,0.0012
104,indiana child support,0.1111,104,Raising children in Indonesia,0.0,104,Indiana Child Support,0.1111,104,Child support,0.0058,104,Financial aid for children,0.0,104,Indian child support,0.0029,104,Support for children,0.0026,104,Indiana child support,0.1111,104,Indian child support,0.0029,104,Indiana Child Support,0.1111,104,help for children in indiana,0.0026
105,sonoma county medical services,1.0,105,Health services in Sonoma County,1.0,105,Health services in Sonoma County,1.0,105,Medical services in Sonoma County,1.0,105,The medical services of the Sonoma Province,1.0,105,Medical services in Sonoma County,1.0,105,medical services in Sonoma County,1.0,105,medical services of Sonoma County,1.0,105,Sonoma county medical services,1.0,105,Sonoma District Medical Services,0.25,105,health care in Sonoma State,0.3333
106,universal animal cuts reviews,0.1111,106,Common animal cuts are evaluated ,0.0,106,A universal examination of animal cuts,0.0019,106,Worldwide animal cuts reviews,0.0,106,Global surveys of animal slaughter,0.0,106,the universal examinations of animal cuts,0.0019,106,Checks on animal returns,0.0,106,A review of the animal carvings,0.0,106,universal animal cutting reviews,0.1111,106,Common cuts of animals,0.0,106,reviews of common animals,0.0
107,cass county missouri,0.0435,107,Cass County  Missouri  is located in the state of Missouri ,0.0333,107,Cass County  Missouri,0.0435,107,Cass County   Missouri  ,0.0435,107,The caste of Missouri ,0.0,107,Cass County   Missouri,0.0435,107,Cass County Missouri,0.0435,107,The Missouri County Courthouse,0.0024,107,Cass County of Missouri,0.0435,107,The state of Missouri,0.0,107,Cass County Missouri,0.0435
108,ralph owen brewster,1.0,108,Ralph Owen Brewster is the first ,1.0,108,Ralph Owen Brewster ,1.0,108,Ralph Owen Bruster  ,0.0014,108,Ralph Owen Brewster ,1.0,108,Ralph Owen Brewster,1.0,108,The following is a list of the countries of the European Union ,0.0,108,Ralph Owen Brewster,1.0,108,Ralph Owen Brewster,1.0,108,The following is a list of articles related to the Bible ,0.0,108,Ralph Owen Brewster,1.0
109,mayo clinic jacksonville fl,0.0102,109,The May Clinic in Jacksonville  Florida,0.0018,109,The main clinic is in Jacksonville  FL ,0.0,109,The Mayo Clinic in Jacksonville  ,0.05,109,The Jacksonville Fluoride Mayonnaise clinic is here ,0.0025,109,The Mayo Clinic in Jacksonville,0.05,109,The Mayo Clinic in Jacksonville  Florida,0.0119,109,The Mayo Clinic in Jacksonville  Florida,0.0119,109,The Mayo Clinic in Jacksonville  FL,0.0102,109,The Mayo Clinic in Jacksonville  FL,0.0102,109,The Mayo Clinic in Jacksonville FL,0.0102
110,map of brazil,1.0,110,Map of Brazil,1.0,110,Map of Brazil,1.0,110,Map of Brazil,1.0,110,The map of Brazil,1.0,110,map of Brazil,1.0,110,Map of Brazil,1.0,110,Map of Brazil,1.0,110,map of Brazil,1.0,110,Map of Brazil,1.0,110,map of Brazil,1.0
