qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.bm25.recip_rank,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.bm25.recip_rank,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.bm25.recip_rank,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.bm25.recip_rank,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.bm25.recip_rank,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.bm25.recip_rank,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.recip_rank,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.recip_rank,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.bm25.recip_rank,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.bm25.recip_rank
701,U.S. oil industry history,0.1429,701,The history of the U S  oil industry,0.1667,701,The history of the oil industry in the United States,0.5,701,The history of the American oil industry,1.0,701,The history of the U S  oil industry,0.1667,701,The history of the American oil industry,1.0,701,The history of the US oil industry,1.0,701,The history of the U S  oil industry,0.1667,701,History of the U S  oil industry,0.1667,701,The history of the U S  oil industry,0.1667,701,The history of the U S  oil industry,0.1667
702,Pearl farming,1.0,702,Pearl farming,1.0,702,Pearl farming,1.0,702,The pearl planting,0.25,702,He killed Pearl,0.0143,702,Cultivation of pearls,1.0,702,Pearl farming,1.0,702,Pearl farming,1.0,702,Pearl farming,1.0,702,pearl farming,1.0,702,The pearl farm,1.0
703,U.S. against International Criminal Court,,703,The United States is against the International Criminal Court,,703,The United States of America is appealing to the International Criminal Court,,703,United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,The United States v  International Criminal Court,,703,United States v  International Criminal Court,,703,The United States v  the International Criminal Court,,703,The United States v  International Criminal Court,,703,United States v  International Criminal Court,
704,Green party political views,1.0,704,The Green Party s political views,0.1429,704,The political views of the Green Party,1.0,704,The views of the Green Party,1.0,704,The political views of the Green Party,1.0,704,The political views of the Green Party,1.0,704,Political views of the Greens,0.5,704,Political views of the Green Party,1.0,704,Green Party political views,1.0,704,Green Party political views,1.0,704,The political views of the Green Party,1.0
705,Iraq foreign debt reduction,1.0,705,Iraq s foreign debt is down,1.0,705,Iraq s foreign debt cuts,0.3333,705,Cut the foreign debt in Iraq,0.3333,705,Reducing Iraq s foreign debt,1.0,705,Reduction of Iraq s external debt,1.0,705,Reduction of foreign debt in Iraq,1.0,705,Reducing Iraq s external debt,1.0,705,Debt reduction outside Iraq,0.5,705,Iraq s foreign debt reduction,0.5,705,Reducing Iraq s foreign debt,1.0
706,Controlling type II diabetes,0.5,706,Control of type II diabetes,0.5,706,Control of type   diabetes,0.5,706,Control of type   diabetes,0.5,706,Control of type   diabetes,0.5,706,Control of type II diabetes,0.5,706,Control of type II diabetes,0.5,706,Control of type II diabetes,0.5,706,Managing type   diabetes,0.5,706,Control of type II diabetes,0.5,706,Control of type II diabetes,0.5
707,Aspirin cancer prevention,1.0,707,The anti cancer aspirin,1.0,707,Aspirin is a cancer prevention drug,1.0,707,Prevention of cancer,0.25,707,Prevention of cancer from aspirin,1.0,707,Prevention of cancer by aspirin,1.0,707,Aspirin for the Prevention of Cancer,1.0,707,Prevention of cancer with aspirin,1.0,707,Aspirin to prevent cancer,1.0,707,Aspirin is used to prevent cancer,1.0,707,How to fight cancer with aspirin,0.1
708,Decorative slate sources,1.0,708,The source of the decoration,0.0,708,Slate source for decoration,1.0,708,The sources of the ornamental stone,0.0013,708,Sources of fertility,0.0,708,Sources of decorative clay,0.0217,708,Slate and shale sources,1.0,708,The sources of decorative leaves,0.0017,708,Sources of decorative slate,1.0,708,The decorative silk pieces,0.0,708,The origins of the decorative slate,1.0
709,Horse racing jockey weight,1.0,709,The weight of the race car,0.0039,709,Horse racing jockey weight,1.0,709,The weight of the forerunners,0.0,709,The weight of a horse race joke,0.25,709,Weight of the Horsemen,0.5,709,Weight of horse racing,1.0,709,The weight of a horse rider,1.0,709,Heavy jockey horse racing,1.0,709,The weight of the horse racing team,1.0,709,The weight of horse racing jockeys,1.0
710,Prostate cancer treatments,1.0,710,Treatment of prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatment for prostate cancer,1.0,710,Treatment for prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatment of prostate cancer,1.0,710,Treatments for Prostate Cancer,1.0,710,Treatment of prostate cancer,1.0
711,Train station security measures,0.1429,711,Railway station security measures,0.5,711,Security measures at the train station,0.1429,711,Security measures for the train station,0.1429,711,Security measures at the train station,0.1429,711,Safety measures at railway stations,0.1429,711,Safety measures for railway stations,0.1429,711,Safety measures at railway stations,0.1429,711,Railway station security measures,0.5,711,Railway station security measures,0.5,711,Safety measures at the train station,0.0081
712,Pyramid scheme,1.0,712,The pyramid scheme,1.0,712,The pyramid scheme,1.0,712,The pyramid system,0.3333,712,The pyramid scheme,1.0,712,The pyramid scheme,1.0,712,Pyramid scheme,1.0,712,The pyramid scheme,1.0,712,The Pyramid Scheme,1.0,712,Pyramid scheme,1.0,712,The pyramidal system,0.3333
713,Chesapeake Bay Maryland clean,0.5,713,Chesapeake Bay is clean  Maryland,0.5,713,Chesapeake Bay  Maryland is clean,0.5,713,The Chesapeake Bay   Maryland   is clean,0.5,713,Chesapeake Bay  Maryland is clear,0.1429,713,Chesapeake Bay Maryland clean,0.5,713,Chesapeake Bay Maryland clean,0.5,713,The clean Chesapeake Bay of Maryland,0.5,713,Chesapeake Bay Maryland is clean,0.5,713,Chesapeake Bay is Maryland s cleanest,0.1111,713,Chesapeake Bay Maryland clean,0.5
714,License restrictions older drivers,1.0,714,The driver is a restricted driver,0.5,714,Restrictions on old driver s licenses,0.0128,714,The restrictions on older drivers  licenses,1.0,714,Restrictions on older drivers  licenses,1.0,714,Restrictions on driving licences for older drivers,0.0909,714,Licence restrictions for older drivers,0.0476,714,Limitations on driving rights of older drivers,1.0,714,Restrictions on older driving licences,0.0244,714,Driving license restrictions,1.0,714,Restrictions on a driver s license for older persons,1.0
715,Schizophrenia drugs,1.0,715,Schizophrenia drugs,1.0,715,The cure for psychosis,0.0092,715,Headache medication,0.0,715,Schizophrenia drugs,1.0,715,Drugs for schizophrenia,1.0,715,Schizophrenia medicines,0.5,715,Medicines for schizophrenia,0.5,715,Schizophrenia medicines,0.5,715,Schizophrenia medications,0.5,715,Medications for mental illness,0.0043
716,Spammer arrest sue,0.1429,716,Spam was arrested and charged,1.0,716,Spammers arresting lawsuit,1.0,716,The race arrest case,0.0,716,The Spammer arrest case,1.0,716,The spammers are being prosecuted,0.3333,716,Spammer arrest lawsuit,1.0,716,The request for the arrest of the spammer,1.0,716,Spammer arrested for suing,1.0,716,The case of the spammers arrest,1.0,716,Spammer arrested trial,1.0
717,Gifted talented student programs,1.0,717,The student program is excellent,1.0,717,A program for talented students,1.0,717,Talented student programs,1.0,717,Talented student programs,1.0,717,Programs for talented students,1.0,717,Talented students,1.0,717,Programs for talented students,1.0,717,Talented student program,1.0,717,Talented student programs,1.0,717,Programs for gifted students,0.5
718,Controlling acid rain,1.0,718,Control the acid rain,1.0,718,I m going to control the wavelength,0.0,718,Control of acid rain,1.0,718,Acid rain control,1.0,718,Control of acid rain,1.0,718,Control of acid rain,1.0,718,Control of acid rain,1.0,718,Managing acid rain,1.0,718,Control of acid rain,1.0,718,Control of acid rain,1.0
719,Cruise ship damage sea life,1.0,719,The damage to marine life caused by cruise ships,0.5,719,The marine life of a cruise ship,1.0,719,Damage to ships,0.0286,719,Damage to the marine life of cruise ships,1.0,719,Damage to cruise ships,0.125,719,Damage to cruise ships,0.125,719,Damage to the marine life of cruise ships,1.0,719,Damage to the marine life cruise ship,1.0,719,The impact of marine life on ships,1.0,719,Sea life for ships,0.0625
720,Federal welfare reform,0.3333,720,Federal welfare reform,0.3333,720,Federal welfare reforms,0.3333,720,Federal welfare reform,0.3333,720,Federal welfare reforms,0.3333,720,Federal welfare reform,0.3333,720,Federal welfare reform,0.3333,720,Federal reform of social security,0.0098,720,Federal welfare reform,0.3333,720,Federal welfare reform,0.3333,720,Reforms to federal welfare,0.3333
721,Census data applications,0.1111,721,The census data request,0.0769,721,Application for census data,0.1111,721,Requests for statistical data,0.0161,721,Request for census data,0.0769,721,Applications of census data,0.1111,721,Applications for census data,0.1111,721,Applications for the population census data,0.1667,721,Applications for survey data,0.0139,721,Applications for census data,0.1111,721,Request for census data,0.0769
722,Iran terrorism,1.0,722,Iran s terrorism,0.5,722,Terrorism in Iran,1.0,722,The Iranian terrorism,0.5,722,Terrorism in Iran,1.0,722,Iran s terrorism,0.5,722,Terrorism in Iran,1.0,722,Iran s terrorism,0.5,722,Iran is a terrorist,0.5,722,Iran terrorism,1.0,722,Terrorism as a Crime,0.0
723,Executive privilege,1.0,723,The privilege of execution,1.0,723,The privilege of execution,1.0,723,Executive privileges,1.0,723,The executive award,0.0042,723,Executive privilege,1.0,723,Priority of leadership,0.0,723,The executive privilege,1.0,723,Executive powers,0.0103,723,The administrative right,0.0,723,Freedom of Leadership,0.0
724,Iran Contra,0.5,724,Iran is against it,0.0014,724,Half of Iran,0.0031,724,Iran,0.0011,724,Against Iran,0.0014,724,The EU is a strong supporter of the EU,0.0,724,Infringement of the procedure,0.0,724,The counter Iran,0.0026,724,Contra Iran,0.5,724,against Iran,0.0014,724,Contra Iran,0.5
725,Low white blood cell count,1.0,725,Low blood cell count,1.0,725,Low white blood cells,0.5,725,Reduced white blood cell count,0.2,725,Low white blood cell count,1.0,725,Low white blood cell content,0.3333,725,Low blood cell counts,1.0,725,Low white blood cell count,1.0,725,Low white blood cell count,1.0,725,The number of white blooded chickens is low,0.0204,725,Low white blood cell count,1.0
726,Hubble telescope repairs,1.0,726,The Hubble Telescope is repairing,1.0,726,Repair of the Hubble Telescope,1.0,726,Repairs to the Hubble Telescope,1.0,726,Repair of the Hubble Telescope,1.0,726,Repairs of the Hubble Telescope,1.0,726,Repairs of the Hubble Telescope,1.0,726,Repair of the Hubble telescope,1.0,726,Repair of the Hubble telescope,1.0,726,Hubble telescope repair,1.0,726,Repairing the Hubble telescope,1.0
727,Church arson,1.0,727,Burn the church,1.0,727,The Church burned down,1.0,727,Burn the church,1.0,727,The church fire,1.0,727,church fire,1.0,727,Church fire,1.0,727,Fire in the church,1.0,727,Burning the church,1.0,727,The Church Burning,1.0,727,Lighting a fire in a church,0.0556
728,whales save endangered,1.0,728,Fish  except for endangered fish,0.007,728,Except for the endangered whale,1.0,728,The whales are endangered,1.0,728,Whales except for the endangered whales,1.0,728,whales except threatened species,0.5,728,Whales other than endangered,1.0,728,whales  except those in danger of extinction,1.0,728,Except for the endangered whale,1.0,728,Except for endangered animals,0.0137,728,except for the endangered whales,1.0
729,Whistle blower department of defense,0.0172,729,Alert  Defense Department,0.0,729,The Department of Defense is whistling,0.0164,729,Department of Defense,0.0,729,Ministry of Defence,0.0,729,Department of Defence,0.0,729,Ministry of Defence,0.0,729,Murder in Response,0.0,729,Notice of the Department of Defense caller,0.0,729,Ministry of Defence,0.0,729,Whistle blower defense department,0.0172
730,Gastric bypass complications,0.3333,730,complications of the gastrointestinal tract,0.0179,730,Uterine complications,0.0,730,The complexities of the metal planning,0.0,730,The effects of stomach ulcers,0.0014,730,Complications of gastric bypass,0.3333,730,Complications of stomach uptake,0.25,730,Conditions of bypass of the stomach,0.5,730,Compliance with abdominal bypass,0.0217,730,The infection of the stomach,0.0147,730,Problems with gastric surgery,1.0
731,Kurds history,0.2,731,Kurdish history,1.0,731,The history of the Kurds,0.2,731,The history of the Kurds,0.2,731,He s made the dates,0.0,731,The history of the Kurds,0.2,731,Kurdish history,1.0,731,The history of the Kurds,0.2,731,Kurdish history,1.0,731,The history of the Kurds,0.2,731,The History of the Kurds,0.2
732,U.S. cheese production,0.5,732,American cheese is made,0.3333,732,The production of cheese in the United States,0.5,732,Cheese production in the United States,0.5,732,U S  cheese production,0.25,732,Cheese production in the United States,0.5,732,US cheese production,0.5,732,Cheese production in the USA,1.0,732,U S  manufacture of cheese,1.0,732,The production of peanut in the United States,0.0022,732,Cheese production in the United States,0.5
733,Airline overbooking,1.0,733,Airlines have overbooked,1.0,733,Flight overbooking,0.5,733,Too many airlines,0.0042,733,Overbooking airlines,1.0,733,Overbooking of airlines,1.0,733,Overbooking of airlines,1.0,733,Transfer of airlines,0.0053,733,Flight ticket location,0.3333,733,Reservations on air travel,0.0769,733,Passing the space of an airplane,0.0
734,Recycling successes,0.5,734,Recycling successfully,0.0625,734,Successful Recycling,0.5,734,Recycling successes,0.5,734,Recycling successes,0.5,734,Successful recycling,0.5,734,Recycling sequence,0.0029,734,Successful in processing,0.0021,734,Successful Repeat,0.0,734,Recycling Successes,0.5,734,Successful care,0.0128
735,Afghan women condition,1.0,735,The situation of Afghan women,1.0,735,The state of women in Afghanistan,1.0,735,The situation of Afghan women,1.0,735,The situation of Afghan women,1.0,735,The situation of Afghan women,1.0,735,Afghan women,0.1667,735,The condition of Afghan women,1.0,735,The condition of Afghan women,1.0,735,The situation of Afghan women,1.0,735,The situation of Afghan women,1.0
736,location BSE infections,1.0,736,Location of BSE infection,1.0,736,Location of BSE infection,1.0,736,BSE,1.0,736,BSE infections,1.0,736,location of infections at the ESB,0.0,736,Infections caused by BSE,1.0,736,location of the BSE infection,1.0,736,location of BSE infection,1.0,736,BSE infections,1.0,736,BSE infections,1.0
737,Enron California energy crisis,1.0,737,The energy crisis in California,0.2,737,The California energy crisis,0.2,737,The energy crisis in California,0.2,737,The California Energy Crisis,0.2,737,Energy crisis in California,0.2,737,Enron California energy crisis,1.0,737,The energy crisis in California,0.2,737,The California Enron energy crisis,1.0,737,The California energy crisis,0.2,737,Energy Crisis in Enron California,1.0
738,Anthrax hoaxes,1.0,738,The fraud of the carbon virus,0.0,738,The Antractic Trick,0.0,738,Tricks about the Andrax,0.0,738,The tricks of the Anterx,0.0,738,The lies against anthrax,0.0294,738,Counterfeit anthrax,0.0714,738,The anthrax deception,0.0043,738,The anthrax scam,0.0312,738,The lies of the Atharaks,0.0,738,The Tricks of Anthrax,0.0038
739,Habitat for Humanity,0.3333,739,The human habitat,0.3333,739,The Habitat for Mankind,0.0,739,The home of mankind,0.0,739,A habitat for humans,0.3333,739,A Home for Mankind,0.0,739,Habitat for humanity,0.3333,739,A haven for mankind,0.0,739,Habitat for the Human,0.3333,739,The Bible says that  the earth is the home of the living God,0.0,739,The Place of Human Dwelling,0.0
740,regulate assisted living Maryland,1.0,740,Managing a living in Maryland,1.0,740,A life supported in Maryland,0.0044,740,Assisted living systems in Maryland,0.3333,740,Helped life in Maryland,0.0041,740,regulating assisted living in Maryland,1.0,740,Regulate the life of the welfare state of Maryland,0.0087,740,regulate the assistance in Maryland residency,1.0,740,Organizing life in Maryland,0.0038,740,The family has been in the family for a long time,0.0,740,leading a life of supporting Maryland,0.0
741,Artificial Intelligence,0.125,741,AI is the answer,0.0244,741,AI,0.0114,741,Artificial intelligence,0.125,741,The AI,0.0114,741,Artificial intelligence,0.125,741,Artificial intelligence,0.125,741,Artificial intelligence,0.125,741,Artificial intelligence,0.125,741,Artificial intelligence,0.125,741,False intelligence,0.0037
742,hedge funds fraud protection,1.0,742,Secured funds fraud protection,0.0115,742,Hedge fund fraud protection,1.0,742,Securities fraud protection,0.0,742,Protecting against hedge fund fraud,1.0,742,protection against hedge fund fraud,1.0,742,Protection against hedge fund fraud,1.0,742,protection against hedge funds,0.125,742,protection against hedge fund fraud,1.0,742,hedging financial fraud protection,0.5,742,protection against hedge funds fraud,1.0
743,Freighter ship registration,0.037,743,The cargo ship is registered,0.5,743,Registering the freight ship,0.0147,743,Record of shipping,0.011,743,Register of cargo ships,0.5,743,Register of freight vessels,0.1429,743,Registration of freight vehicles,0.0035,743,Registration of cargo vessels,0.0625,743,Registering of cargo vessels,0.0303,743,Freight shipping registration,0.1,743,Register of freight ships,0.0147
744,Counterfeit ID punishments,0.0175,744,The punishment for fake ID,0.1111,744,The punishment for false identity,0.037,744,The penalties for a fake identity,0.0833,744,False identity punishments,0.037,744,Sanctions against counterfeiting,0.02,744,Penalties for counterfeit identification,0.5,744,Penalties for counterfeiting identity card,0.5,744,False ID punishment,0.006,744,Punishment for False Identifiers,0.0033,744,False identity judgments,0.0046
745,Doomsday cults,1.0,745,The cult of the last days,1.0,745,The Day of Judgment is New,0.0,745,The Day of Judgment cult,1.0,745,The Faith of the Last Day,0.0,745,The Worship of the Last Judgment Day,0.0018,745,The Meaning of the Hereafter,0.0,745,The Day of Judgment,0.0,745,Religions of the Last Days,0.0196,745,The final day of worship,0.0015,745,Religions of the Last Days,0.0196
