qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid.1,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid.2,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid.3,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid.4,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid.5,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid.6,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid.7,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid.8,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid.9,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid.10,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
1,obama family tree,0.0081,1,The Obama family tree ,0.0081,1,The Obama family tree ,0.0081,1,The Obama family tree  ,0.0081,1,The Obama family tree ,0.0081,1,Obama family tree,0.0081,1,Obama family tree,0.0081,1,The tree of joy,0.0,1,Obama family tree,0.0081,1,Obama s family tree,0.0087,1,Obama family tree,0.0081
2,french lick resort and casino,1.0,2,French wine and gambling ,0.0031,2,French Ricoh Resorts and Casinos,1.0,2,French Lake Resort and Casino ,0.5,2,French Resorts and Casinos,1.0,2,French Lick Resort and Casino,1.0,2,French Lick Resort and Casino,1.0,2,French resort and casino,1.0,2,French Lick Resort and Casino,1.0,2,French League Resort and Casino,1.0,2,French lick resort and casino,1.0
3,getting organized,1.0,3,Organize yourself ,0.1,3,It s organizing ,0.0013,3,The organization  ,0.0073,3,They re organized ,0.0015,3,get settled,0.0,3,organising themselves,0.0,3,organizing,0.0073,3,organized,0.0073,3,organizing,0.0073,3,Organized,0.0073
4,toilet,0.125,4,The toilet ,0.125,4,The bathroom ,0.0,4,The toilet  ,0.125,4,The toilet ,0.125,4,toilet,0.125,4,Toilet,0.125,4,The toilet,0.125,4,toilet,0.125,4,toilet,0.125,4,toilets,0.125
5,mitchell college,0.0769,5,Mitchell College is a great place to go ,0.0769,5,Mitchell College,0.0769,5,Mitchell College  ,0.0769,5,Mitchell College ,0.0769,5,Mitchell college,0.0769,5,Mitchell College,0.0769,5,Mitchell College,0.0769,5,Mitchell College,0.0769,5,Michael College,0.0,5,Mitchell college,0.0769
6,kcs,0.0032,6,It s not ,0.0,6,Kcs,0.0032,6,The equipment  ,0.0,6,The computer ,0.0,6,the cts,0.0,6,CCS,0.0,6,The KC,0.0032,6,Kcs,0.0032,6,Kilometers,0.0,6,the kcs,0.0032
7,air travel information,1.0,7,Air travel information,1.0,7,Air travel information,1.0,7,Air travel information,1.0,7,Air travel information,1.0,7,Information on air travel,1.0,7,Air travel information,1.0,7,Information about air travel,1.0,7,Air travel information,1.0,7,Air travel information,1.0,7,Air travel news,1.0
8,appraisals,0.0149,8,The evaluation ,0.0,8,The evaluation,0.0,8,The ratings,0.0,8,The evaluations,0.0,8,the evaluations,0.0,8,The following are the results of the evaluations ,0.0,8,The ratings,0.0,8,The assessment,0.0,8,Assessments,0.0,8,Evaluate the situation,0.0
9,used car parts,1.0,9,It s a car part ,0.5,9,Used car parts,1.0,9,Used car parts,1.0,9,Used car parts ,1.0,9,Used car parts,1.0,9,Parts of used vehicles,0.1111,9,parts for cars,0.5,9,Used car parts,1.0,9,Used vehicle parts,0.1111,9,used car parts,1.0
10,cheap internet,0.25,10,Cheap Internet ,0.25,10,Cheap Internet,0.25,10,The internet is cheap ,0.25,10,The Internet is cheap ,0.25,10,Cheap Internet,0.25,10,Cheap Internet,0.25,10,cheap internet,0.25,10,Cheap internet,0.25,10,Cheap Internet,0.25,10,cheap internet,0.25
