qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8
801,Kudzu Pueraria lobata,0.4259,1,backtranslation_zsm_latn,0.5209,Kudzu Pueraria the lobotome,,,,,,,,,,,,,,,,,,,,,
802,Volcano eruptions global temperature,0.3804,8,backtranslation_kor_hang,0.5024,Volcanic eruptions  global warming,backtranslation_arb_arab,0.5024,Volcanic eruptions   Global warming,backtranslation_fra_latn,0.5024,Volcanic eruptions and global warming,backtranslation_tam_taml,0.5024,Volcanic eruptions global warming,backtranslation_deu_latn,0.494,Volcanic eruptions global temperature,backtranslation_rus_cyrl,0.494,Volcanic eruptions global temperature,backtranslation_zsm_latn,0.494,Global temperature volcanic eruption,backtranslation_pes_arab,0.4052,The eruption of a global warming volcano
803,May Day,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,
804,ban on human cloning,0.5224,5,backtranslation_yue_hant,0.5425,Human cloning is prohibited,backtranslation_pes_arab,0.5425,Prohibition of human cloning,backtranslation_fra_latn,0.5425,prohibition on cloning humans,backtranslation_deu_latn,0.5425,Prohibition of cloning of humans,backtranslation_zsm_latn,0.5425,Prohibition of human cloning,,,,,,,,,
805,Identity Theft Passport,0.0764,0,,,,,,,,,,,,,,,,,,,,,,,,
806,Doctors Without Borders,0.1037,0,,,,,,,,,,,,,,,,,,,,,,,,
807,Sugar tariff-rate quotas,0.5928,2,backtranslation_fra_latn,0.5989,Tariff quotas for sugar,backtranslation_deu_latn,0.5989,Tariff quotas for sugar,,,,,,,,,,,,,,,,,,
808,North Korean Counterfeiting,0.6233,0,,,,,,,,,,,,,,,,,,,,,,,,
809,wetlands wastewater treatment,0.3129,0,,,,,,,,,,,,,,,,,,,,,,,,
810,timeshare resales,0.3235,0,,,,,,,,,,,,,,,,,,,,,,,,
811,handwriting recognition,0.2378,0,,,,,,,,,,,,,,,,,,,,,,,,
812,total knee replacement surgery,0.5915,0,,,,,,,,,,,,,,,,,,,,,,,,
813,Atlantic Intracoastal Waterway,0.298,0,,,,,,,,,,,,,,,,,,,,,,,,
814,Johnstown flood,0.6509,0,,,,,,,,,,,,,,,,,,,,,,,,
815,Coast Guard rescues,0.2255,0,,,,,,,,,,,,,,,,,,,,,,,,
816,USAID assistance to Galapagos,0.8266,3,backtranslation_yue_hant,0.8548,USAID is helping Galapagos,backtranslation_deu_latn,0.8523,USAID support for the Galapagos,backtranslation_kor_hang,0.8452,USAID support for the Galapagos region,,,,,,,,,,,,,,,
817,sports stadium naming rights,0.3758,3,backtranslation_yue_hant,0.4101,The naming rights of the stadium,backtranslation_tam_taml,0.4101,Naming rights of the stadium,backtranslation_swh_latn,0.4101,rights to the name of the stadium,,,,,,,,,,,,,,,
818,Chaco Culture National Park,0.3886,0,,,,,,,,,,,,,,,,,,,,,,,,
819,1890 Census,0.5175,0,,,,,,,,,,,,,,,,,,,,,,,,
820,imported fire ants,0.7739,0,,,,,,,,,,,,,,,,,,,,,,,,
821,Internet work-at-home scams,0.222,0,,,,,,,,,,,,,,,,,,,,,,,,
822,Custer's Last Stand,0.108,1,backtranslation_zsm_latn,0.1312,Custer s last defense,,,,,,,,,,,,,,,,,,,,,
823,Continuing care retirement communities,0.2669,0,,,,,,,,,,,,,,,,,,,,,,,,
824,Civil Air Patrol,0.3192,0,,,,,,,,,,,,,,,,,,,,,,,,
825,National Guard Involvement in Iraq,0.0282,2,backtranslation_swh_latn,0.0958,The National Guard in Iraq,backtranslation_deu_latn,0.0667,Participation of the National Guard in Iraq,,,,,,,,,,,,,,,,,,
826,Florida Seminole Indians,0.2173,0,,,,,,,,,,,,,,,,,,,,,,,,
827,Hidden Markov Modeling HMM,0.3525,2,backtranslation_yue_hant,0.3898,The hidden Malkovic simulation of HMM,backtranslation_kor_hang,0.3578,HMM hidden markup modeling,,,,,,,,,,,,,,,,,,
828,secret shoppers,0.2777,0,,,,,,,,,,,,,,,,,,,,,,,,
829,Spanish Civil War support,0.0666,0,,,,,,,,,,,,,,,,,,,,,,,,
830,model railroads,0.0629,0,,,,,,,,,,,,,,,,,,,,,,,,
831,Dulles Airport security,0.3064,0,,,,,,,,,,,,,,,,,,,,,,,,
832,labor union activity,0.1649,0,,,,,,,,,,,,,,,,,,,,,,,,
833,Iceland government,0.4049,0,,,,,,,,,,,,,,,,,,,,,,,,
834,Global positioning system earthquakes,0.4494,0,,,,,,,,,,,,,,,,,,,,,,,,
835,Big Dig pork,0.0986,0,,,,,,,,,,,,,,,,,,,,,,,,
836,illegal immigrant wages,0.2575,0,,,,,,,,,,,,,,,,,,,,,,,,
