qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
801,Kudzu Pueraria lobata,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
802,Volcano eruptions global temperature,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
803,May Day,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,ban on human cloning,0.3333,7,backtranslation_yue_hant,1.0,Human cloning is prohibited,backtranslation_kor_hang,1.0,Prohibition of human reproduction,backtranslation_pes_arab,1.0,Prohibition of human cloning,backtranslation_fra_latn,1.0,prohibition on cloning humans,backtranslation_deu_latn,1.0,Prohibition of cloning of humans,backtranslation_zsm_latn,1.0,Prohibition of human cloning,backtranslation_arb_arab,0.5,The ban on human replication,,,,,,
805,Identity Theft Passport,0.0909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Doctors Without Borders,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Sugar tariff-rate quotas,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
808,North Korean Counterfeiting,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
809,wetlands wastewater treatment,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,timeshare resales,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,handwriting recognition,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,total knee replacement surgery,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Atlantic Intracoastal Waterway,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Johnstown flood,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Coast Guard rescues,0.125,1,backtranslation_swh_latn,1.0,The Safety of the Coast Guard,,,,,,,,,,,,,,,,,,,,,,,,
816,USAID assistance to Galapagos,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
817,sports stadium naming rights,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Chaco Culture National Park,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
819,1890 Census,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,imported fire ants,0.5,1,backtranslation_pes_arab,1.0,Fire ants are in,,,,,,,,,,,,,,,,,,,,,,,,
821,Internet work-at-home scams,0.3333,3,backtranslation_pes_arab,1.0,Internet scams at work,backtranslation_deu_latn,1.0,Internet Fraud at Work at Home,backtranslation_zsm_latn,1.0,Internet fraud at home,,,,,,,,,,,,,,,,,,
822,Custer's Last Stand,0.25,3,backtranslation_zsm_latn,0.5,Custer s last defense,backtranslation_fra_latn,0.3333,Custer s last stand,backtranslation_deu_latn,0.3333,Custer s last stand,,,,,,,,,,,,,,,,,,
823,Continuing care retirement communities,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Civil Air Patrol,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
