qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
151,403b,0.0993,151,   b ,0.0,151,   b,0.0,151,   b  ,0.0,151,   b,0.0,151,   b,0.0,151,Other articles,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0,151,   b,0.0
152,angular cheilitis,0.0,152,Coronary artery disease ,0.0,152,The angle of the salt,0.0,152,Corner head inflammation  ,0.0,152,It s a corner ,0.0,152,angular sheability,0.0,152,Other  of a kind used for the manufacture of goods,0.0,152,The corner helite,0.0,152,angular paralysis,0.0,152,angular curvature,0.0,152,angular chelulitis,0.0
153,pocono,0.2945,153,Poconno ,0.0,153,Pocono is here ,0.2015,153,The bocone  ,0.0,153,The pooch ,0.0,153,Pocono,0.2945,153,Pocono,0.2945,153,The Poconos,0.2945,153,Pocono is,0.2945,153,the bogono,0.0,153,Better,0.0
154,figs,0.0419,154,The tree ,0.0,154,I don t know ,0.0,154,The fig  ,0.0419,154,The figs ,0.0419,154,the figs,0.0419,154,Figs,0.0419,154,The figs,0.0419,154,figs,0.0419,154,The fig trees,0.0709,154,figs,0.0419
155,last supper painting,0.1891,155,The last dinner drawing ,0.0,155,Last dinner painting,0.0009,155,The last painting ,0.0303,155,The last painting dinner ,0.0009,155,Last table,0.0,155,Last supper painting,0.1891,155,The last picture  ,0.0001,155,Last dinner painting,0.0009,155,The painting depicts the Last Supper,0.1203,155,picture of the last supper,0.078
156,university of phoenix,0.1267,156,The University of Nix ,0.0,156,The University of Phoenix,0.1267,156,The University of Phoenix  ,0.1267,156,The University of Phoenix ,0.1267,156,University of Phoenix,0.1267,156,University of Phoenix,0.1267,156,The University of Phoenix,0.1267,156,The University of Phoenix,0.1267,156,The University of Phoenix,0.1267,156,the University of Phoenix,0.1267
157,the beatles rock band,0.1152,157,The Beatles ,0.0507,157,The Beatles are rock band ,0.1152,157,The Beatles  ,0.0507,157,The rock band The Beatles ,0.1152,157,the Beatles rock band,0.1152,157,The Beatles rock band,0.1152,157,The Beatles rock band,0.1152,157,The Beatles rock band,0.1152,157,The Beatles were a rock band ,0.2377,157,The Beatles rock band,0.1152
158,septic system design,0.4018,158,The design of the seven spin system ,0.0,158,Design of the septic system,0.4018,158,The design of the decentralized system,0.0,158,Design of the septic system,0.4018,158,design of the septic system,0.4018,158,Design of the septic system,0.4018,158,the construction of the septic system,0.0192,158,design of septic systems,0.4018,158,Design of the septic system,0.4018,158,design of septic system,0.4018
159,porterville,0.2417,159,Portville  the city of Portville ,0.0,159,I m not sure ,0.0,159,Porterville  ,0.2417,159,Portroyl ,,159,Portreville,,159,Portville,0.0,159,I  m not here  ,0.0,159,The porterville,0.2417,159,Portville,0.0,159,Porterville,0.2417
160,grilling,0.0114,160,The roast meat ,0.0,160,Gary  please ,0.0,160,The confusion ,0.0,160,They re grilling ,0.0003,160,grilling,0.0114,160,Grill,0.0114,160,The grids,0.0,160,Fries,0.0,160,Glue,0.0,160,heating,0.0
