qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
151,403b,0.0993,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
152,angular cheilitis,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
153,pocono,0.2945,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
154,figs,0.0419,1,backtranslation_tam_taml,0.0709,The fig trees,,,,,,,,,,,,,,,,,,,,,,,,,,,
155,last supper painting,0.1891,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
156,university of phoenix,0.1267,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
157,the beatles rock band,0.1152,1,backtranslation_tam_taml,0.2377,The Beatles were a rock band ,,,,,,,,,,,,,,,,,,,,,,,,,,,
158,septic system design,0.4018,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
159,porterville,0.2417,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
160,grilling,0.0114,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
161,furniture for small spaces,0.0197,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,dnr,0.0356,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,arkansas,0.0293,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,hobby stores,0.0547,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,blue throated hummingbird,0.002,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,computer programming,0.0058,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,barbados,0.0178,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,lipoma,0.292,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,battles in the civil war,0.1013,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,scooters,0.0055,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
171,ron howard,0.1592,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,becoming a paralegal,0.22,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,hip fractures,0.3362,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
