qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
801,Kudzu Pueraria lobata,0.4422,1,backtranslation_zsm_latn,0.5346,Kudzu Pueraria the lobotome,,,,,,,,,,,,,,,,,,,,,,,,
802,Volcano eruptions global temperature,0.3471,7,backtranslation_kor_hang,0.4749,Volcanic eruptions  global warming,backtranslation_arb_arab,0.4749,Volcanic eruptions   Global warming,backtranslation_fra_latn,0.4749,Volcanic eruptions and global warming,backtranslation_tam_taml,0.4749,Volcanic eruptions global warming,backtranslation_deu_latn,0.4665,Volcanic eruptions global temperature,backtranslation_rus_cyrl,0.4665,Volcanic eruptions global temperature,backtranslation_zsm_latn,0.4665,Global temperature volcanic eruption,,,,,,
803,May Day,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,ban on human cloning,0.5122,5,backtranslation_yue_hant,0.5534,Human cloning is prohibited,backtranslation_pes_arab,0.5534,Prohibition of human cloning,backtranslation_fra_latn,0.5534,prohibition on cloning humans,backtranslation_deu_latn,0.5534,Prohibition of cloning of humans,backtranslation_zsm_latn,0.5534,Prohibition of human cloning,,,,,,,,,,,,
805,Identity Theft Passport,0.041,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
806,Doctors Without Borders,0.0663,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
807,Sugar tariff-rate quotas,0.5685,3,backtranslation_fra_latn,0.5819,Tariff quotas for sugar,backtranslation_deu_latn,0.5819,Tariff quotas for sugar,backtranslation_tam_taml,0.5759,Tax quotas for sugar,,,,,,,,,,,,,,,,,,
808,North Korean Counterfeiting,0.6491,1,backtranslation_fra_latn,0.6668,Counterfeiting in North Korea,,,,,,,,,,,,,,,,,,,,,,,,
809,wetlands wastewater treatment,0.3132,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
810,timeshare resales,0.3129,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
811,handwriting recognition,0.2808,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
812,total knee replacement surgery,0.5012,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
813,Atlantic Intracoastal Waterway,0.2986,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
814,Johnstown flood,0.6922,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
815,Coast Guard rescues,0.1404,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
816,USAID assistance to Galapagos,0.7736,4,backtranslation_yue_hant,0.8637,USAID is helping Galapagos,backtranslation_deu_latn,0.8356,USAID support for the Galapagos,backtranslation_kor_hang,0.8143,USAID support for the Galapagos region,backtranslation_rus_cyrl,0.798,USAID s assistance to the Galapagos,,,,,,,,,,,,,,,
817,sports stadium naming rights,0.2786,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
818,Chaco Culture National Park,0.2037,1,backtranslation_zsm_latn,0.3247,The Chaco Cultural Park,,,,,,,,,,,,,,,,,,,,,,,,
819,1890 Census,0.5531,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
820,imported fire ants,0.7563,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
821,Internet work-at-home scams,0.2364,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
822,Custer's Last Stand,0.0837,1,backtranslation_zsm_latn,0.1036,Custer s last defense,,,,,,,,,,,,,,,,,,,,,,,,
823,Continuing care retirement communities,0.2914,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
824,Civil Air Patrol,0.3261,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
825,National Guard Involvement in Iraq,0.0687,2,backtranslation_deu_latn,0.0933,Participation of the National Guard in Iraq,backtranslation_swh_latn,0.0918,The National Guard in Iraq,,,,,,,,,,,,,,,,,,,,,
826,Florida Seminole Indians,0.2695,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
827,Hidden Markov Modeling HMM,0.4363,2,backtranslation_pes_arab,0.4458,The secret model of the HMM Markov,backtranslation_swh_latn,0.4458,Secret Markov Modeling HMM,,,,,,,,,,,,,,,,,,,,,
828,secret shoppers,0.2763,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
829,Spanish Civil War support,0.0755,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
