qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1
51,horse hooves,1.0,0,,,
52,avp,0.2,0,,,
53,discovery channel store,1.0,0,,,
54,president of the united states,0.1429,0,,,
55,iron,0.0256,0,,,
56,uss yorktown charleston sc,0.0263,1,backtranslation_pes_arab,0.04,We are Yorktown 
57,ct jobs,1.0,0,,,
58,penguins,0.2,0,,,
59,how to build a fence,0.3333,0,,,
60,bellevue,0.1,0,,,
61,worm,0.0526,0,,,
62,texas border patrol,1.0,0,,,
63,flushing,0.05,0,,,
64,moths,0.1667,0,,,
65,korean language,1.0,0,,,
66,income tax return online,0.0167,1,backtranslation_yue_hant,0.0333,Tax returns online
67,vldl levels,0.5,1,backtranslation_swh_latn,1.0,Vldl standards
68,pvc,0.25,0,,,
69,sewing instructions,1.0,0,,,
70,to be or not to be that is the question,0.0,0,,,
71,living in india,0.0227,1,backtranslation_kor_hang,0.125,I live in India 
72,the sun,0.0061,0,,,
73,neil young,1.0,0,,,
74,kiwi,0.0102,1,backtranslation_kor_hang,0.02,You know  Kiwi 
75,tornadoes,0.0833,1,backtranslation_kor_hang,0.1429,It s a tornado 
76,raised gardens,0.2,0,,,
77,bobcat,0.1667,0,,,
78,dieting,0.0135,0,,,
79,voyager,0.0196,0,,,
80,keyboard reviews,1.0,0,,,
81,afghanistan,0.3333,1,backtranslation_yue_hant,1.0,Afghanistan is a country 
82,joints,0.0182,0,,,
83,memory,0.0,0,,,
84,continental plates,1.0,0,,,
85,milwaukee journal sentinel,1.0,0,,,
86,bart sf,1.0,0,,,
87,who invented music,1.0,0,,,
88,forearm pain,1.0,0,,,
89,ocd,0.5,0,,,
90,mgb,0.0625,0,,,
91,er tv show,0.0667,0,,,
92,the wall,0.0058,0,,,
93,raffles,0.0769,0,,,
94,titan,0.0161,0,,,
95,earn money at home,,0,,,
96,rice,0.125,0,,,
97,south africa,0.1667,0,,,
98,sat,0.1429,0,,,
99,satellite,0.0041,0,,,
100,rincon puerto rico,,0,,,
