qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5
751,Scrabble Players,0.3715,0,,,,,,,,,,,,,,,
752,Dam removal,0.5107,0,,,,,,,,,,,,,,,
753,bullying prevention programs,0.3263,0,,,,,,,,,,,,,,,
754,domestic adoption laws,0.0812,0,,,,,,,,,,,,,,,
755,Scottish Highland Games,0.4832,0,,,,,,,,,,,,,,,
756,Volcanic Activity,0.3124,0,,,,,,,,,,,,,,,
757,Murals,0.2122,0,,,,,,,,,,,,,,,
758,Embryonic stem cells,0.6639,0,,,,,,,,,,,,,,,
759,civil war battle reenactments,0.2141,0,,,,,,,,,,,,,,,
760,american muslim mosques schools,0.3034,2,backtranslation_pes_arab,0.3462,Muslim mosques in America and schools,backtranslation_swh_latn,0.3039,American mosque of Islamic school,,,,,,,,,
761,Problems of Hmong Immigrants,0.4918,0,,,,,,,,,,,,,,,
762,History of Physicians in America,0.0138,0,,,,,,,,,,,,,,,
763,Hunting deaths,0.1187,0,,,,,,,,,,,,,,,
764,Increase mass transit use,0.1695,0,,,,,,,,,,,,,,,
765,ephedra ma huang deaths,0.473,1,backtranslation_yue_hant,0.6071,The death of Ephedra Ma Juan,,,,,,,,,,,,
766,diamond smuggling,0.5187,0,,,,,,,,,,,,,,,
767,Pharmacist License requirements,0.4704,0,,,,,,,,,,,,,,,
768,Women in state legislatures,0.1254,0,,,,,,,,,,,,,,,
769,Kroll Associates Employees,0.0124,0,,,,,,,,,,,,,,,
770,Kyrgyzstan-United States relations,0.3492,5,backtranslation_pes_arab,0.3546,Relations between Kyrgyzstan and the United States,backtranslation_fra_latn,0.3546,Relations between Kyrgyzstan and the United States,backtranslation_deu_latn,0.3546,Relations between Kyrgyzstan and the United States,backtranslation_rus_cyrl,0.3546,Relations between Kyrgyzstan and the United States,backtranslation_swh_latn,0.3546,Relations between Kyrgyzstan and the United States
771,deformed leopard frogs,0.502,0,,,,,,,,,,,,,,,
772,flag display rules,0.3723,0,,,,,,,,,,,,,,,
773,Pennsylvania slot machine gambling,0.5488,1,backtranslation_rus_cyrl,0.8534,Gambling at the Pennsylvania machines,,,,,,,,,,,,
774,Causes of Homelessness,0.3052,0,,,,,,,,,,,,,,,
775,Commercial candy makers,0.3719,0,,,,,,,,,,,,,,,
776,Magnet schools success,0.223,0,,,,,,,,,,,,,,,
777,hybrid alternative fuel cars,0.3082,1,backtranslation_yue_hant,0.3172,hybrid fuel cars,,,,,,,,,,,,
778,golden ratio,0.0998,0,,,,,,,,,,,,,,,
779,Javelinas range and description,0.5034,0,,,,,,,,,,,,,,,
780,Arable land,0.3529,0,,,,,,,,,,,,,,,
781,Squirrel control and protections,0.4286,0,,,,,,,,,,,,,,,
782,Orange varieties seasons,0.6889,0,,,,,,,,,,,,,,,
783,school mercury poisoning,0.1768,0,,,,,,,,,,,,,,,
784,mersenne primes,0.4507,1,backtranslation_zsm_latn,0.4521,number of mersenne primes,,,,,,,,,,,,
785,Ivory-billed woodpecker,0.4231,1,backtranslation_fra_latn,0.5637,The species of ivory ball woodpeckers,,,,,,,,,,,,
786,Yew trees,0.425,0,,,,,,,,,,,,,,,
787,Sunflower Cultivation,0.5755,0,,,,,,,,,,,,,,,
788,Reverse mortgages,0.5221,0,,,,,,,,,,,,,,,
789,abandoned mine reclamation,0.2213,0,,,,,,,,,,,,,,,
790,women's rights in Saudi Arabia,0.5206,0,,,,,,,,,,,,,,,
791,Gullah geechee language culture,0.4643,0,,,,,,,,,,,,,,,
792,Social Security means test,0.103,2,backtranslation_rus_cyrl,0.1243,Social security   a test,backtranslation_tam_taml,0.1243,Social security testing,,,,,,,,,
793,Bagpipe Bands,0.274,0,,,,,,,,,,,,,,,
794,pet therapy,0.0638,0,,,,,,,,,,,,,,,
795,notable cocker spaniels,0.0223,5,backtranslation_kor_hang,0.0993,A remarkable Coker Spaniel,backtranslation_zsm_latn,0.0375,The famous cocker Spaniel,backtranslation_swh_latn,0.0375,The famous cocker spaniels,backtranslation_fra_latn,0.0358,the remarkable cocker spaniels,backtranslation_arb_arab,0.0238,Cocker Spaniel
796,Blue Grass Music Festival history,0.1649,0,,,,,,,,,,,,,,,
797,reintroduction of gray wolves,0.6259,0,,,,,,,,,,,,,,,
798,Massachusetts textile mills,0.1714,1,backtranslation_yue_hant,0.1745,Massachusetts  the Massachusetts textile mill,,,,,,,,,,,,
799,Animals in Alzheimer's research,0.185,3,backtranslation_yue_hant,0.2018,Animals in the Alzheimer s study,backtranslation_kor_hang,0.2018,The animals in the Alzheimer s study,backtranslation_tam_taml,0.1988,The animals in Alzheimer s disease research are the most important,,,,,,
800,Ovarian Cancer Treatment,0.1997,0,,,,,,,,,,,,,,,
