qid,abstractqueryexpansion,abstractqueryexpansion.bm25.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.bm25.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.bm25.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.bm25.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.bm25.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.bm25.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.bm25.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.bm25.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.bm25.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.bm25.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.bm25.map
INEX_LD-20120111,vietnam war movie,0.3147,INEX_LD-20120111,Vietnam War movies,0.3147,INEX_LD-20120111,A film about the Vietnam War,0.1214,INEX_LD-20120111,Vietnam War movie,0.3147,INEX_LD-20120111,The Vietnam War movie,0.3147,INEX_LD-20120111,Vietnam War film,0.3145,INEX_LD-20120111,Vietnam War Film,0.3145,INEX_LD-20120111,Vietnamese film,0.0108,INEX_LD-20120111,Vietnam war movies,0.3147,INEX_LD-20120111,The Vietnam War Film,0.3145,INEX_LD-20120111,Vietnamese war film,0.0577
INEX_LD-20120112,vietnam war facts,0.083,INEX_LD-20120112,The facts of the Vietnam War,0.083,INEX_LD-20120112,The Vietnam War actually,0.0512,INEX_LD-20120112,The facts of the Vietnam War,0.083,INEX_LD-20120112,The facts of the Vietnam War,0.083,INEX_LD-20120112,The facts of the Vietnam War,0.083,INEX_LD-20120112,Facts from the Vietnam War,0.0529,INEX_LD-20120112,The facts of the Vietnam War,0.083,INEX_LD-20120112,Facts of the Vietnam War,0.083,INEX_LD-20120112,The facts of the Vietnam War,0.083,INEX_LD-20120112,The Truth About the Vietnam War,0.0053
INEX_LD-20120121,vietnam food recipes,0.0146,INEX_LD-20120121,The Vietnamese food recipe,0.0415,INEX_LD-20120121,Vietnamese cuisine,0.1075,INEX_LD-20120121,Vietnamese recipes,0.0295,INEX_LD-20120121,Vietnamese recipes,0.0295,INEX_LD-20120121,Vietnamese food recipes,0.0415,INEX_LD-20120121,Vietnamese recipes,0.0295,INEX_LD-20120121,Vietnamese recipes,0.0295,INEX_LD-20120121,Vietnamese food recipes,0.0415,INEX_LD-20120121,Vietnamese recipes,0.0295,INEX_LD-20120121,Vietnamese cuisine,0.1075
INEX_LD-20120122,vietnamese food blog,0.0707,INEX_LD-20120122,Vietnamese food blog,0.0707,INEX_LD-20120122,Vietnamese food blog,0.0707,INEX_LD-20120122,Vietnamese food blog,0.0707,INEX_LD-20120122,Vietnamese food blog,0.0707,INEX_LD-20120122,Vietnamese food blog,0.0707,INEX_LD-20120122,Vietnamese food blog,0.0707,INEX_LD-20120122,Vietnamese blogs,0.0036,INEX_LD-20120122,Vietnamese food blog,0.0707,INEX_LD-20120122,Vietnamese food blog,0.0707,INEX_LD-20120122,Vietnamese food blog,0.0707
INEX_LD-20120131,vietnam travel national park,0.0034,INEX_LD-20120131,Vietnamese National Park,0.003,INEX_LD-20120131,Vietnamese National Park,0.003,INEX_LD-20120131,Vietnamese national park,0.003,INEX_LD-20120131,Vietnam National Travel Park,0.0034,INEX_LD-20120131,Vietnam s national travel park,0.0046,INEX_LD-20120131,Vietnamese national park,0.003,INEX_LD-20120131,The National Travel Park of Vietnam,0.0034,INEX_LD-20120131,Vietnamese Travel National Park,0.0015,INEX_LD-20120131,Vietnam Travel National Park,0.0034,INEX_LD-20120131,Vietnam National Park trip,0.0039
INEX_LD-20120132,vietnam travel airports,0.1923,INEX_LD-20120132,Vietnamese tourist airport,0.2211,INEX_LD-20120132,Traveling to Vietnam Airport,0.1923,INEX_LD-20120132,Airports in Vietnam,0.8001,INEX_LD-20120132,Airports in Vietnam,0.8001,INEX_LD-20120132,travel airports in Vietnam,0.1923,INEX_LD-20120132,Airports for travel in Vietnam,0.1923,INEX_LD-20120132,Airports of Vietnam,0.8001,INEX_LD-20120132,Vietnam travel airport,0.1923,INEX_LD-20120132,Airports in Vietnam,0.8001,INEX_LD-20120132,Airports in Vietnam,0.8001
INEX_LD-20120211,guitar chord tuning,0.5089,INEX_LD-20120211,The guitar strings,0.1075,INEX_LD-20120211,Guitar,0.0245,INEX_LD-20120211,  The tuning on the guitar,0.5035,INEX_LD-20120211,Guitar chord setting,0.0869,INEX_LD-20120211,adjustment of the guitar chords,0.2063,INEX_LD-20120211,Guitar chord alignment,0.1469,INEX_LD-20120211,How to set up guitar chords,0.0358,INEX_LD-20120211,guitar chord adjustment,0.2063,INEX_LD-20120211,Set up the guitar axle,0.0004,INEX_LD-20120211,chord of the guitar tuning,0.5089
INEX_LD-20120212,guitar chord minor,0.185,INEX_LD-20120212,The guitar strings are small,0.0024,INEX_LD-20120212,Guitar chord minor,0.185,INEX_LD-20120212,Guitar strings,0.0156,INEX_LD-20120212,A little guitar chord,0.0666,INEX_LD-20120212,minor chord of guitar,0.185,INEX_LD-20120212,Guitar recorder,0.0,INEX_LD-20120212,The guitar chord,0.2235,INEX_LD-20120212,minor guitar chords,0.185,INEX_LD-20120212,The horse with the crotch,0.0,INEX_LD-20120212,a small guitar chord,0.0408
INEX_LD-20120221,guitar classical flamenco,0.417,INEX_LD-20120221,Flamengo for classical guitar,0.0134,INEX_LD-20120221,The classic flamenco guitar,0.417,INEX_LD-20120221,The classic flamenco guitar,0.417,INEX_LD-20120221,The classic flamenco guitar,0.417,INEX_LD-20120221,classical flamenco of the guitar,0.417,INEX_LD-20120221,Guitar and classical flamenco,0.417,INEX_LD-20120221,The classic flamenco guitar,0.417,INEX_LD-20120221,classic flamenco guitar,0.417,INEX_LD-20120221,The guitar is a classic flamenco,0.417,INEX_LD-20120221,flamenco of the bed,0.1131
INEX_LD-20120222,guitar classical bach,0.2695,INEX_LD-20120222,The classical guitar,0.0933,INEX_LD-20120222,The classic guitar,0.0933,INEX_LD-20120222,The classic guitar,0.0933,INEX_LD-20120222,The classical guitar,0.0933,INEX_LD-20120222,The classic bass guitar,0.0017,INEX_LD-20120222,Guitar classical bass,0.0017,INEX_LD-20120222,The classical guitar,0.0933,INEX_LD-20120222,Bach classical guitar,0.2695,INEX_LD-20120222,The classic guitar catch,0.013,INEX_LD-20120222,classical guitar bach,0.2695
