qid,abstractqueryexpansion,abstractqueryexpansion.qld.map,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.map,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.map,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.map,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.map,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.map,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.map,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.map,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.map,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.map,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.map
301,International Organized Crime,0.0282,301,International organized crime,0.0282,301,International organized crime,0.0282,301,International organized crime,0.0282,301,International organized crime,0.0282,301,International organized crime,0.0282,301,International organised crime,0.0106,301,International organized crime,0.0282,301,International Organized Crime,0.0282,301,International organized crime,0.0282,301,International Crime,0.0119
302,Poliomyelitis and Post-Polio,0.5585,302,After polio and polio,0.4828,302,Polymorphism and polio,0.3425,302,Polio and polio after polio,0.4833,302,Polio and its aftermath,0.4829,302,Polio and lateral polio,0.4765,302,Polio and postpolio,0.4875,302,Polio and postpolio,0.4875,302,Polio and Pospolio,0.4875,302,After Polyamory and Polio,0.4704,302,Polio and Afterpolio,0.4875
303,Hubble Telescope Achievements,0.1915,303,The Hubble Telescope has achieved this,0.1899,303,The achievement of the Hubble Telescope,0.1915,303,The achievements of the Hubble Telescope,0.1915,303,The achievements of the Hubble Telescope,0.1915,303,The achievements of the Hubble Telescope,0.1915,303,Achievements of the Hubble Telescope,0.1915,303,The achievements of the Hubble Telescope,0.1915,303,The achievements of the Hubble Telescope,0.1915,303,Hubble s telescope achievements,0.1896,303,The success of the Hubble Telescope,0.1573
304,Endangered Species (Mammals),0.1124,304,They are endangered,0.0966,304,Endangered species,0.1239,304,Endangered species   mammals,0.1124,304,Endangered species  clouds,0.129,304,Endangered species  mammal,0.1124,304,Endangered species  mammal,0.1124,304,Threatened species  self skins,0.0297,304,Endangered species  s,0.1145,304,The species in danger of extinction  type,0.0289,304,Endangered Species  Animals,0.134
305,Most Dangerous Vehicles,0.0051,305,The most dangerous car,0.0032,305,The most dangerous vehicle,0.0051,305,More dangerous cars,0.0025,305,The most dangerous vehicles,0.0051,305,The most dangerous vehicles,0.0051,305,Most dangerous vehicles,0.0051,305,The most dangerous vehicles,0.0051,305,The Most Dangerous Vehicle,0.0051,305,The most dangerous vehicles,0.0051,305,The Most Dangerous Cars,0.0032
306,African Civilian Deaths,0.1084,306,African citizens dying,0.0037,306,African civilian deaths,0.1084,306,Civilian deaths in Africa,0.0709,306,Death of African citizens,0.0243,306,The deaths of African civilians,0.1084,306,African civilian deaths,0.1084,306,Death of civilians in Africa,0.0709,306,The Death of Civilians in Africa,0.0709,306,African civilian deaths,0.1084,306,The Deaths of Politicians in Africa,0.0133
307,New Hydroelectric Projects,0.3172,307,New hydroelectric projects,0.3172,307,A new hydropower project,0.0858,307,New hydropower projects,0.0858,307,New hydroelectric projects,0.3172,307,New hydroelectric projects,0.3172,307,New hydropower plants,0.0447,307,New hydroelectric projects,0.3172,307,New hydroelectric project,0.3172,307,New hydroelectric projects,0.3172,307,New Water Power Projects,0.0597
308,Implant Dentistry,0.2839,308,Dental implants,0.5011,308,Implantation surgery,0.0755,308,Hosted dentistry,0.025,308,Dental implant,0.5011,308,Dentistry of implants,0.2839,308,Implant teeth,0.5026,308,Dentistry of implants,0.2839,308,Implant dentistry,0.2839,308,Surgery,0.0,308,Dental disease,0.1006
309,Rap and Crime,0.0011,309,Violence and crime,0.0,309,Rap and crime,0.0011,309,Rape and murder,0.0,309,Rape and crime,0.0,309,Rap and crime,0.0011,309,Rap and crime,0.0011,309,Rap and Crime,0.0011,309,Rap and Crime,0.0011,309,Sexual assault and crime,0.0,309,The Crime of Eternity,0.0003
310,Radio Waves and Brain Cancer,0.1384,310,Telewave and brain cancer,0.0819,310,Radiation and Brain Cancer,0.1045,310,Radio waves and brain cancer,0.1384,310,Radio waves and brain cancer,0.1384,310,Radio waves and brain cancer,0.1384,310,Radio waves and brain cancer,0.1384,310,Radio waves and brain cancer,0.1384,310,Radio waves and brain cancer,0.1384,310,Radio waves and brain cancer,0.1384,310,Radio Waves and Brain Cancer,0.1384
311,Industrial Espionage,0.3797,311,Industrial spy,0.0392,311,The spy industry,0.0392,311,Industrial espionage,0.3797,311,Industrial spy,0.0392,311,Industrial espionage,0.3797,311,The Commission has also adopted a proposal for a directive on the protection of workers  rights,0.0,311,The industrial espionage,0.3797,311,Industrial intelligence,0.0158,311,Industrial intelligence,0.0158,311,Industrial intelligence,0.0158
312,Hydroponics,0.8626,312,Hydrogeology,0.0,312,Water,0.0,312,Water,0.0,312,Hydroponics,0.8626,312,Hydroponics,0.8626,312,Hydrogen,0.0,312,Hydroponics,0.8626,312,Hydroponics,0.8626,312,The waterfall,0.0,312,Hydroponics,0.8626
313,Magnetic Levitation-Maglev,0.7848,313,The magnetic field Levitation Maglev,0.7628,313,Self levitization  Magreve  is the most important thing,0.3949,313,Magnetic distortion,0.0348,313,Magnetic lights are on,0.06,313,Magnetic lift,0.0653,313,Magnetic levitation maglev,0.7848,313,Magnetic levitation of the maggles,0.7382,313,Magnetic levitation of the Maglev,0.7848,313,Magnetic levitation McLav,0.7382,313,Magnetic Levitation Maglev,0.7848
314,Marine Vegetation,0.0035,314,The seaweed,0.197,314,Sea plants,0.0063,314,Marine plants,0.0251,314,Seaweed,0.197,314,marine vegetation,0.0035,314,Sea farming,0.0309,314,Sea vegetation,0.0263,314,Sea plants,0.0063,314,Sea plants,0.0063,314,Seafood,0.001
315,Unexplained Highway Accidents,0.0164,315,There s no reason for traffic accidents,0.0108,315,An unexplained highway accident,0.0164,315,Unexplained road accidents,0.0035,315,Unexplained highway accidents,0.0164,315,Unexplained Road Accidents,0.0035,315,Unexplained car accidents,0.0083,315,Unexplained Accidents,0.0011,315,Unexplained Highway Accidents,0.0164,315,Unexplained road accidents,0.0035,315,Unreported Road Accidents,0.0044
