qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3
1,obama family tree,0.5,1,backtranslation_tam_taml,1.0,Obama s family tree,,,,,,
2,french lick resort and casino,1.0,0,,,,,,,,,
3,getting organized,1.0,0,,,,,,,,,
4,toilet,0.125,0,,,,,,,,,
5,mitchell college,0.3333,0,,,,,,,,,
6,kcs,0.0032,0,,,,,,,,,
7,air travel information,0.5,1,backtranslation_rus_cyrl,1.0,Information about air travel,,,,,,
8,appraisals,0.0141,0,,,,,,,,,
9,used car parts,0.5,0,,,,,,,,,
10,cheap internet,0.25,0,,,,,,,,,
11,gmat prep classes,0.5,3,backtranslation_deu_latn,1.0,Preparation hours for the Gmat study,backtranslation_zsm_latn,1.0,Gmat preparation class,backtranslation_swh_latn,1.0,the preparation class for gmat
12,djs,0.25,0,,,,,,,,,
13,map,0.5,0,,,,,,,,,
14,dinosaurs,0.0286,0,,,,,,,,,
15,espn sports,0.5,0,,,,,,,,,
16,arizona game and fish,1.0,0,,,,,,,,,
17,poker tournaments,0.1429,0,,,,,,,,,
18,wedding budget calculator,0.5,0,,,,,,,,,
19,the current,0.0,0,,,,,,,,,
20,defender,0.0,0,,,,,,,,,
21,volvo,0.25,0,,,,,,,,,
22,rick warren,1.0,0,,,,,,,,,
23,yahoo,0.0075,0,,,,,,,,,
24,diversity,0.1667,0,,,,,,,,,
25,euclid,0.5,0,,,,,,,,,
26,lower heart rate,1.0,0,,,,,,,,,
27,starbucks,0.0556,1,backtranslation_zsm_latn,0.3333,Starbucks is a great place to start ,,,,,,
28,inuyasha,0.3333,0,,,,,,,,,
29,ps 2 games,0.0526,0,,,,,,,,,
30,diabetes education,1.0,0,,,,,,,,,
31,atari,1.0,0,,,,,,,,,
32,website design hosting,1.0,0,,,,,,,,,
33,elliptical trainer,0.25,1,backtranslation_arb_arab,0.5,The abdominal trainer  ,,,,,,
34,cell phones,0.0909,0,,,,,,,,,
35,hoboken,0.3333,0,,,,,,,,,
36,gps,0.1429,1,backtranslation_kor_hang,1.0,GPS is the best ,,,,,,
37,pampered chef,0.125,0,,,,,,,,,
38,dogs for adoption,0.3333,0,,,,,,,,,
39,disneyland hotel,0.3333,0,,,,,,,,,
40,michworks,0.5,0,,,,,,,,,
41,orange county convention center,1.0,0,,,,,,,,,
42,the music man,0.0053,0,,,,,,,,,
43,the secret garden,0.3333,0,,,,,,,,,
44,map of the united states,0.5,0,,,,,,,,,
45,solar panels,1.0,0,,,,,,,,,
46,alexian brothers hospital,0.3333,1,backtranslation_tam_taml,0.5,The hospital of the Brotherhood of Alexians,,,,,,
47,indexed annuity,1.0,0,,,,,,,,,
48,wilson antenna,0.3333,1,backtranslation_tam_taml,1.0,Wilson radio,,,,,,
49,flame designs,0.3333,0,,,,,,,,,
50,dog heat,0.1429,0,,,,,,,,,
