qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,qid,backtranslation_yue_hant,backtranslation_yue_hant.qld.recip_rank,qid,backtranslation_kor_hang,backtranslation_kor_hang.qld.recip_rank,qid,backtranslation_arb_arab,backtranslation_arb_arab.qld.recip_rank,qid,backtranslation_pes_arab,backtranslation_pes_arab.qld.recip_rank,qid,backtranslation_fra_latn,backtranslation_fra_latn.qld.recip_rank,qid,backtranslation_deu_latn,backtranslation_deu_latn.qld.recip_rank,qid,backtranslation_rus_cyrl,backtranslation_rus_cyrl.qld.recip_rank,qid,backtranslation_zsm_latn,backtranslation_zsm_latn.qld.recip_rank,qid,backtranslation_tam_taml,backtranslation_tam_taml.qld.recip_rank,qid,backtranslation_swh_latn,backtranslation_swh_latn.qld.recip_rank
INEX_LD-20120111,vietnam war movie,1.0,INEX_LD-20120111,Vietnam War movies,1.0,INEX_LD-20120111,A film about the Vietnam War,0.3333,INEX_LD-20120111,Vietnam War movie,1.0,INEX_LD-20120111,The Vietnam War movie,1.0,INEX_LD-20120111,Vietnam War film,1.0,INEX_LD-20120111,Vietnam War Film,1.0,INEX_LD-20120111,Vietnamese film,0.1,INEX_LD-20120111,Vietnam war movies,1.0,INEX_LD-20120111,The Vietnam War Film,1.0,INEX_LD-20120111,Vietnamese war film,0.5
INEX_LD-20120112,vietnam war facts,1.0,INEX_LD-20120112,The facts of the Vietnam War,1.0,INEX_LD-20120112,The Vietnam War actually,1.0,INEX_LD-20120112,The facts of the Vietnam War,1.0,INEX_LD-20120112,The facts of the Vietnam War,1.0,INEX_LD-20120112,The facts of the Vietnam War,1.0,INEX_LD-20120112,Facts from the Vietnam War,1.0,INEX_LD-20120112,The facts of the Vietnam War,1.0,INEX_LD-20120112,Facts of the Vietnam War,1.0,INEX_LD-20120112,The facts of the Vietnam War,1.0,INEX_LD-20120112,The Truth About the Vietnam War,0.3333
INEX_LD-20120121,vietnam food recipes,1.0,INEX_LD-20120121,The Vietnamese food recipe,1.0,INEX_LD-20120121,Vietnamese cuisine,1.0,INEX_LD-20120121,Vietnamese recipes,0.3333,INEX_LD-20120121,Vietnamese recipes,0.3333,INEX_LD-20120121,Vietnamese food recipes,1.0,INEX_LD-20120121,Vietnamese recipes,0.3333,INEX_LD-20120121,Vietnamese recipes,0.3333,INEX_LD-20120121,Vietnamese food recipes,1.0,INEX_LD-20120121,Vietnamese recipes,0.3333,INEX_LD-20120121,Vietnamese cuisine,1.0
INEX_LD-20120122,vietnamese food blog,0.1667,INEX_LD-20120122,Vietnamese food blog,0.1667,INEX_LD-20120122,Vietnamese food blog,0.1667,INEX_LD-20120122,Vietnamese food blog,0.1667,INEX_LD-20120122,Vietnamese food blog,0.1667,INEX_LD-20120122,Vietnamese food blog,0.1667,INEX_LD-20120122,Vietnamese food blog,0.1667,INEX_LD-20120122,Vietnamese blogs,0.0075,INEX_LD-20120122,Vietnamese food blog,0.1667,INEX_LD-20120122,Vietnamese food blog,0.1667,INEX_LD-20120122,Vietnamese food blog,0.1667
INEX_LD-20120131,vietnam travel national park,0.25,INEX_LD-20120131,Vietnamese National Park,0.1429,INEX_LD-20120131,Vietnamese National Park,0.1429,INEX_LD-20120131,Vietnamese national park,0.1429,INEX_LD-20120131,Vietnam National Travel Park,0.25,INEX_LD-20120131,Vietnam s national travel park,0.25,INEX_LD-20120131,Vietnamese national park,0.1429,INEX_LD-20120131,The National Travel Park of Vietnam,0.25,INEX_LD-20120131,Vietnamese Travel National Park,0.0714,INEX_LD-20120131,Vietnam Travel National Park,0.25,INEX_LD-20120131,Vietnam National Park trip,1.0
INEX_LD-20120132,vietnam travel airports,1.0,INEX_LD-20120132,Vietnamese tourist airport,0.5,INEX_LD-20120132,Traveling to Vietnam Airport,1.0,INEX_LD-20120132,Airports in Vietnam,1.0,INEX_LD-20120132,Airports in Vietnam,1.0,INEX_LD-20120132,travel airports in Vietnam,1.0,INEX_LD-20120132,Airports for travel in Vietnam,1.0,INEX_LD-20120132,Airports of Vietnam,1.0,INEX_LD-20120132,Vietnam travel airport,1.0,INEX_LD-20120132,Airports in Vietnam,1.0,INEX_LD-20120132,Airports in Vietnam,1.0
INEX_LD-20120211,guitar chord tuning,1.0,INEX_LD-20120211,The guitar strings,0.5,INEX_LD-20120211,Guitar,0.2,INEX_LD-20120211,  The tuning on the guitar,1.0,INEX_LD-20120211,Guitar chord setting,1.0,INEX_LD-20120211,adjustment of the guitar chords,1.0,INEX_LD-20120211,Guitar chord alignment,1.0,INEX_LD-20120211,How to set up guitar chords,1.0,INEX_LD-20120211,guitar chord adjustment,1.0,INEX_LD-20120211,Set up the guitar axle,0.0556,INEX_LD-20120211,chord of the guitar tuning,1.0
INEX_LD-20120212,guitar chord minor,1.0,INEX_LD-20120212,The guitar strings are small,0.25,INEX_LD-20120212,Guitar chord minor,1.0,INEX_LD-20120212,Guitar strings,1.0,INEX_LD-20120212,A little guitar chord,1.0,INEX_LD-20120212,minor chord of guitar,1.0,INEX_LD-20120212,Guitar recorder,0.0123,INEX_LD-20120212,The guitar chord,1.0,INEX_LD-20120212,minor guitar chords,1.0,INEX_LD-20120212,The horse with the crotch,0.0,INEX_LD-20120212,a small guitar chord,0.5
INEX_LD-20120221,guitar classical flamenco,1.0,INEX_LD-20120221,Flamengo for classical guitar,0.3333,INEX_LD-20120221,The classic flamenco guitar,1.0,INEX_LD-20120221,The classic flamenco guitar,1.0,INEX_LD-20120221,The classic flamenco guitar,1.0,INEX_LD-20120221,classical flamenco of the guitar,1.0,INEX_LD-20120221,Guitar and classical flamenco,1.0,INEX_LD-20120221,The classic flamenco guitar,1.0,INEX_LD-20120221,classic flamenco guitar,1.0,INEX_LD-20120221,The guitar is a classic flamenco,1.0,INEX_LD-20120221,flamenco of the bed,0.2
INEX_LD-20120222,guitar classical bach,1.0,INEX_LD-20120222,The classical guitar,0.3333,INEX_LD-20120222,The classic guitar,0.3333,INEX_LD-20120222,The classic guitar,0.3333,INEX_LD-20120222,The classical guitar,0.3333,INEX_LD-20120222,The classic bass guitar,0.0714,INEX_LD-20120222,Guitar classical bass,0.0714,INEX_LD-20120222,The classical guitar,0.3333,INEX_LD-20120222,Bach classical guitar,1.0,INEX_LD-20120222,The classic guitar catch,0.0455,INEX_LD-20120222,classical guitar bach,1.0
