qid,abstractqueryexpansion,abstractqueryexpansion.bm25.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9
301,International Organized Crime,0.2,2,backtranslation_deu_latn,0.3333,International organised crime,backtranslation_swh_latn,0.25,International Crime,,,,,,,,,,,,,,,,,,,,,
302,Poliomyelitis and Post-Polio,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,Hubble Telescope Achievements,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
304,Endangered Species (Mammals),1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
305,Most Dangerous Vehicles,0.0137,3,backtranslation_arb_arab,0.0667,More dangerous cars,backtranslation_yue_hant,0.0625,The most dangerous car,backtranslation_swh_latn,0.0625,The Most Dangerous Cars,,,,,,,,,,,,,,,,,,
306,African Civilian Deaths,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
307,New Hydroelectric Projects,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
308,Implant Dentistry,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
309,Rap and Crime,0.0034,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
310,Radio Waves and Brain Cancer,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
311,Industrial Espionage,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
312,Hydroponics,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
313,Magnetic Levitation-Maglev,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
314,Marine Vegetation,0.0333,8,backtranslation_yue_hant,1.0,The seaweed,backtranslation_arb_arab,1.0,Marine plants,backtranslation_pes_arab,1.0,Seaweed,backtranslation_rus_cyrl,1.0,Sea vegetation,backtranslation_deu_latn,0.5,Sea farming,backtranslation_kor_hang,0.0625,Sea plants,backtranslation_zsm_latn,0.0625,Sea plants,backtranslation_tam_taml,0.0625,Sea plants,,,
315,Unexplained Highway Accidents,0.2,1,backtranslation_yue_hant,0.25,There s no reason for traffic accidents,,,,,,,,,,,,,,,,,,,,,,,,
316,Polygamy Polyandry Polygyny,0.5,5,backtranslation_yue_hant,1.0,Polygamy is polygamy,backtranslation_fra_latn,1.0,Polygamy and polygamy,backtranslation_deu_latn,1.0,Polygamy and polygamy,backtranslation_rus_cyrl,1.0,Polygamy of Polyandria Polygania,backtranslation_zsm_latn,1.0,Polygamy Polygamy,,,,,,,,,,,,
317,Unsolicited Faxes,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,Best Retirement Country,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,New Fuel Sources,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,Undersea Fiber Optic Cable,0.0303,6,backtranslation_arb_arab,0.25,Sea fiber cable underwater,backtranslation_zsm_latn,0.1667,Underwater fiber optic cables,backtranslation_rus_cyrl,0.1111,Subsea optical cable made of fibres,backtranslation_tam_taml,0.1,Sea glass fiber cable,backtranslation_fra_latn,0.0769,Submarine fibre optic cable,backtranslation_deu_latn,0.0588,Subsea optical cables,,,,,,,,,
321,Women in Parliaments,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
322,International Art Crime,0.0357,1,backtranslation_fra_latn,0.0588,International crime against art,,,,,,,,,,,,,,,,,,,,,,,,
323,Literary/Journalistic Plagiarism,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
324,Argentine/British Relations,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,Cult Lifestyles,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
326,Ferry Sinkings,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,Modern Slavery,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
328,Pope Beatifications,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
329,Mexican Air Pollution,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,Iran-Iraq Cooperation,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
331,World Bank Criticism,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
332,Income Tax Evasion,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
333,Antibiotics Bacteria Disease,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
334,Export Controls Cryptography,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
335,Adoptive Biological Parents,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
336,Black Bear Attacks,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
337,Viral Hepatitis,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
338,Risk of Aspirin,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
339,Alzheimer's Drug Treatment,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
340,Land Mine Ban,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
341,Airport Security,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,Diplomatic Expulsion,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
343,Police Deaths,0.0455,5,backtranslation_zsm_latn,0.25,Death of a cop,backtranslation_swh_latn,0.125,The Death of a Police Officer,backtranslation_yue_hant,0.0833,The police are dead,backtranslation_kor_hang,0.0833,Police dead,backtranslation_rus_cyrl,0.0833,The police are dead,,,,,,,,,,,,
344,Abuses of E-Mail,0.3333,1,backtranslation_zsm_latn,1.0,Breach of e mail,,,,,,,,,,,,,,,,,,,,,,,,
345,Overseas Tobacco Sales,0.2,7,backtranslation_yue_hant,1.0,I sell cigarettes abroad,backtranslation_pes_arab,1.0,Smoking sales abroad,backtranslation_fra_latn,1.0,Tobacco sales abroad,backtranslation_rus_cyrl,1.0,The sale of tobacco abroad,backtranslation_zsm_latn,1.0,Tobacco sales abroad,backtranslation_tam_taml,1.0,The sale of tobacco abroad,backtranslation_arb_arab,0.5,Tobacco sales outside,,,,,,
346,Educational Standards,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
347,Wildlife Extinction,0.1429,7,backtranslation_kor_hang,1.0,Extinction of the Wild,backtranslation_pes_arab,1.0,Extinction of the wild,backtranslation_rus_cyrl,1.0,Extinction of the wild,backtranslation_zsm_latn,1.0,Extinction of the wild,backtranslation_tam_taml,0.5,The destruction of wild animals,backtranslation_swh_latn,0.25,The Extinction of Animals,backtranslation_yue_hant,0.1667,Wildlife is disappearing,,,,,,
348,Agoraphobia,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
349,Metabolism,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,Health and Computer Terminals,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
351,Falkland petroleum exploration,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
352,British Chunnel impact,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
353,Antarctica exploration,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
354,journalist risks,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
355,ocean remote sensing,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
356,postmenopausal estrogen Britain,0.0476,3,backtranslation_arb_arab,1.0,Oestrogen after the age of despair Britain,backtranslation_pes_arab,0.1667,Estrogen after the British monopoly,backtranslation_tam_taml,0.05,Estrogen Britain after the end of menopause,,,,,,,,,,,,,,,,,,
357,territorial waters dispute,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
358,blood-alcohol fatalities,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
359,mutual fund predictors,0.0769,4,backtranslation_rus_cyrl,0.5,forecast indicators of mutual funds,backtranslation_yue_hant,0.2,Mutual fund forecasts,backtranslation_kor_hang,0.2,Mutual fund forecasts,backtranslation_fra_latn,0.2,forecasters of mutual funds,,,,,,,,,,,,,,,
360,drug legalization benefits,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
361,clothing sweatshops,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,human smuggling,0.3333,1,backtranslation_rus_cyrl,0.5,smuggling of people,,,,,,,,,,,,,,,,,,,,,,,,
363,transportation tunnel disasters,0.1667,2,backtranslation_tam_taml,1.0,Traffic subway disasters,backtranslation_kor_hang,0.2,Traffic tunnel crash,,,,,,,,,,,,,,,,,,,,,
364,rabies,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
365,El Nino,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
366,commercial cyanide uses,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
367,piracy,0.25,2,backtranslation_yue_hant,1.0,The act of piracy,backtranslation_kor_hang,1.0,The act of piracy,,,,,,,,,,,,,,,,,,,,,
368,in vitro fertilization,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
369,anorexia nervosa bulimia,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,food/drug laws,0.0714,1,backtranslation_pes_arab,0.5,Food and Drug regulations,,,,,,,,,,,,,,,,,,,,,,,,
371,health insurance holistic,0.0079,7,backtranslation_pes_arab,1.0,Health insurance coverage,backtranslation_swh_latn,0.0588,general health insurance,backtranslation_yue_hant,0.0156,Health insurance as a whole,backtranslation_kor_hang,0.0156,The whole health insurance,backtranslation_deu_latn,0.0105,State health insurance,backtranslation_arb_arab,0.0098,Health insurance,backtranslation_rus_cyrl,0.0098,health insurance,,,,,,
372,Native American casino,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
373,encryption equipment export,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
374,Nobel prize winners,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
375,hydrogen energy,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
376,World Court,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
377,cigar smoking,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
378,euro opposition,0.0256,3,backtranslation_arb_arab,0.125,Opposition to the European Union,backtranslation_kor_hang,0.0435,The Euro against,backtranslation_zsm_latn,0.0435,against the euro,,,,,,,,,,,,,,,,,,
379,mainstreaming,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
380,obesity medical treatment,0.5,2,backtranslation_yue_hant,1.0,Obesity treatment,backtranslation_tam_taml,1.0,Obesity is a medical condition,,,,,,,,,,,,,,,,,,,,,
381,alternative medicine,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
382,hydrogen fuel automobiles,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
383,mental illness drugs,0.3333,1,backtranslation_yue_hant,1.0,Psychiatric drugs,,,,,,,,,,,,,,,,,,,,,,,,
384,space station moon,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
385,hybrid fuel cars,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
386,teaching disabled children,0.25,1,backtranslation_pes_arab,0.3333,Education of handicapped children,,,,,,,,,,,,,,,,,,,,,,,,
