qid,abstractqueryexpansion,abstractqueryexpansion.qld.recip_rank,star_model_count,method.1,metric.1,query.1,method.2,metric.2,query.2,method.3,metric.3,query.3,method.4,metric.4,query.4,method.5,metric.5,query.5,method.6,metric.6,query.6,method.7,metric.7,query.7,method.8,metric.8,query.8,method.9,metric.9,query.9,method.10,metric.10,query.10
1,obama family tree,0.0081,1,backtranslation_tam_taml,0.0087,Obama s family tree,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,french lick resort and casino,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,getting organized,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,toilet,0.125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,mitchell college,0.0769,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,kcs,0.0032,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,air travel information,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,appraisals,0.0149,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,used car parts,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,cheap internet,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,gmat prep classes,0.5,2,backtranslation_zsm_latn,1.0,Gmat preparation class,backtranslation_swh_latn,1.0,the preparation class for gmat,,,,,,,,,,,,,,,,,,,,,,,,
12,djs,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,map,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,dinosaurs,0.0303,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,espn sports,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,arizona game and fish,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,poker tournaments,0.1429,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,wedding budget calculator,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,the current,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,defender,0.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,volvo,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,rick warren,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,yahoo,0.0073,2,backtranslation_kor_hang,0.0909,You know  Yahoo ,backtranslation_pes_arab,0.0909,You know  yahoo ,,,,,,,,,,,,,,,,,,,,,,,,
24,diversity,0.1667,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,euclid,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,lower heart rate,0.3333,1,backtranslation_swh_latn,1.0,low heart rate,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,starbucks,0.0556,1,backtranslation_zsm_latn,0.2,Starbucks is a great place to start ,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,inuyasha,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,ps 2 games,0.1429,10,backtranslation_yue_hant,0.25,PS   game ,backtranslation_kor_hang,0.25,PS  game,backtranslation_arb_arab,0.25,PS   games,backtranslation_pes_arab,0.25,PS  game,backtranslation_fra_latn,0.25,PS   games,backtranslation_deu_latn,0.25,PS   Games,backtranslation_rus_cyrl,0.25,PS  of the game,backtranslation_zsm_latn,0.25,PS  game,backtranslation_tam_taml,0.25,ps   games,backtranslation_swh_latn,0.25,PS   games
30,diabetes education,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,atari,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,website design hosting,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,elliptical trainer,0.25,1,backtranslation_arb_arab,1.0,The abdominal trainer  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,cell phones,0.0909,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,hoboken,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,gps,0.1429,1,backtranslation_kor_hang,1.0,GPS is the best ,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,pampered chef,0.1111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,dogs for adoption,0.125,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,disneyland hotel,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,michworks,0.5,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,orange county convention center,1.0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,the music man,0.0035,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,the secret garden,0.25,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,map of the united states,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,solar panels,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,alexian brothers hospital,0.3333,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,indexed annuity,0.2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,wilson antenna,0.3333,1,backtranslation_tam_taml,1.0,Wilson radio,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,flame designs,0.1111,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,dog heat,0.1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
